open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1724803200000,59527.27000000,59527.27000000,59500.05000000,59508.39000000,0.00791000,1724803259999,470.67098500,11,0.00178000,105.92495180
1724803260000,59500.05000000,59508.39000000,59500.05000000,59500.05000000,0.00090000,1724803319999,53.55046200,4,0.00005000,2.97541950
1724803320000,59500.05000000,59508.35000000,59500.00000000,59500.00000000,0.01139000,1724803379999,677.70679050,6,0.00016000,9.52133600
1724803380000,59500.00000000,59500.00000000,59500.00000000,59500.00000000,0.01000000,1724803439999,595.00000000,2,0E-8,0E-8
1724803440000,59500.00000000,59500.00000000,59500.00000000,59500.00000000,0.00970000,1724803499999,577.15000000,7,0E-8,0E-8
1724803500000,59499.99000000,59499.99000000,59446.22000000,59446.22000000,0.30044000,1724803559999,17861.15741920,14,0.00044000,26.15741920
1724803560000,59432.27000000,59432.27000000,59432.27000000,59432.27000000,0.00024000,1724803619999,14.26374480,1,0E-8,0E-8
1724803620000,59432.27000000,59432.27000000,59406.26000000,59430.90000000,0.00805000,1724803679999,478.40508590,28,0.00255000,151.54879500
1724803680000,59440.20000000,59440.20000000,59406.27000000,59430.70000000,0.16753000,1724803739999,9956.51575150,6,0E-8,0E-8
1724803740000,59463.96000000,59463.96000000,59462.50000000,59462.50000000,0.00086000,1724803799999,51.13830480,5,0E-8,0E-8
1724803800000,59414.10000000,59414.10000000,59414.10000000,59414.10000000,0.00006000,1724803859999,3.56484600,1,0E-8,0E-8
1724803860000,59484.79000000,59484.79000000,59484.79000000,59484.79000000,0.00002000,1724803919999,1.18969580,1,0.00002000,1.18969580
1724803920000,59473.59000000,59473.59000000,59473.59000000,59473.59000000,0.00002000,1724803979999,1.18947180,1,0.00002000,1.18947180
1724803980000,59508.39000000,59508.39000000,59508.39000000,59508.39000000,0.00005000,1724804039999,2.97541950,1,0.00005000,2.97541950
1724804040000,59480.19000000,59480.19000000,59480.19000000,59480.19000000,0.00097000,1724804099999,57.69578430,1,0.00097000,57.69578430
1724804100000,59480.20000000,59480.20000000,59406.26000000,59466.04000000,0.00890000,1724804159999,529.22465500,6,0.00849000,504.86808840
