open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1702339200000,41237.41000000,41262.02000000,41235.17000000,41235.17000000,0.15907000,1702339259999,6559.64639370,6,0.00318000,131.15683860
1702339260000,41237.72000000,41261.48000000,41218.51000000,41261.48000000,0.20648000,1702339319999,8518.59740930,35,0.20385000,8410.17823800
1702339320000,41261.47000000,41261.48000000,41232.15000000,41261.48000000,0.11359000,1702339379999,4686.88253150,17,0.11329000,4674.51288650
1702339380000,41261.48000000,41300.01000000,41261.48000000,41299.98000000,0.50279000,1702339439999,20752.08624360,13,0.50276000,20750.84833590
1702339440000,41282.65000000,41282.65000000,41229.39000000,41242.31000000,0.03964000,1702339499999,1635.27107100,25,0.00670000,276.49172880
1702339500000,41224.21000000,41286.98000000,41224.21000000,41286.56000000,0.11796000,1702339559999,4863.91442980,22,0.11472000,4730.27576630
1702339560000,41268.13000000,41268.13000000,41218.15000000,41247.73000000,0.00229000,1702339619999,94.45421260,5,0.00216000,89.09585310
1702339620000,41242.48000000,41242.48000000,41206.36000000,41206.36000000,0.01465000,1702339679999,603.85702600,7,0.00115000,47.42856760
1702339680000,41200.01000000,41200.61000000,41200.00000000,41200.61000000,0.04892000,1702339739999,2015.50520280,7,0.00194000,79.92918340
1702339740000,41210.78000000,41267.50000000,41210.78000000,41262.29000000,0.07602000,1702339799999,3133.86449860,20,0.06413000,2643.65320760
1702339800000,41227.08000000,41267.00000000,41204.58000000,41204.58000000,0.01205000,1702339859999,496.74294690,10,0.00475000,195.90182400
1702339860000,41223.74000000,41223.75000000,41182.58000000,41188.17000000,0.03731000,1702339919999,1536.66306810,12,0.00063000,25.96989010
1702339920000,41205.75000000,41222.66000000,41180.03000000,41180.03000000,0.02882000,1702339979999,1187.49810090,13,0.02672000,1101.02003790
1702339980000,41193.04000000,41193.04000000,41193.04000000,41193.04000000,0.00097000,1702340039999,39.95724880,1,0.00097000,39.95724880
1702340040000,41214.20000000,41227.63000000,41214.20000000,41224.57000000,0.04979000,1702340099999,2052.50478000,13,0.04979000,2052.50478000
1702340100000,41201.79000000,41254.86000000,41194.99000000,41239.24000000,0.02485000,1702340159999,1024.49698140,15,0.02275000,937.98750240
1702340160000,41249.96000000,41286.57000000,41249.96000000,41269.58000000,0.01112000,1702340219999,458.90813450,11,0.01013000,418.05162230
1702340220000,41269.58000000,41321.28000000,41269.58000000,41299.19000000,0.02597000,1702340279999,1072.48611210,25,0.00605000,249.91248800
1702340280000,41299.19000000,41401.52000000,41299.19000000,41401.52000000,1.06121000,1702340339999,43888.88046410,86,1.03973000,43000.71814760
1702340340000,41360.51000000,41406.90000000,41360.51000000,41367.51000000,0.13070000,1702340399999,5410.90360780,22,0.01714000,709.61987780
1702340400000,41367.51000000,41410.67000000,41361.61000000,41410.63000000,0.17892000,1702340459999,7408.45853020,18,0.17877000,7402.25366430
1702340460000,41370.06000000,41422.78000000,41370.06000000,41422.78000000,0.11284000,1702340519999,4672.01146170,40,0.04117000,1705.09718280
1702340520000,41400.12000000,41500.00000000,41400.12000000,41489.95000000,0.30175000,1702340579999,12509.65047600,111,0.24601000,10198.80639030
1702340580000,41484.27000000,41554.95000000,41484.27000000,41554.95000000,0.42806000,1702340639999,17771.61575730,75,0.17097000,7098.93463530
1702340640000,41555.00000000,41671.55000000,41520.80000000,41671.55000000,0.26105000,1702340699999,10864.15447460,118,0.20200000,8407.66156500
1702340700000,41636.47000000,41727.59000000,41618.49000000,41618.49000000,0.77048000,1702340759999,32113.64166980,104,0.29395000,12257.57559410
1702340760000,41618.50000000,41673.08000000,41579.45000000,41627.89000000,0.36667000,1702340819999,15263.72070430,33,0.20407000,8497.13179580
1702340820000,41577.22000000,41622.82000000,41548.69000000,41562.91000000,0.22629000,1702340879999,9406.59164350,20,0.00595000,247.55749030
1702340880000,41581.63000000,41686.15000000,41578.15000000,41686.15000000,0.35117000,1702340939999,14622.53519390,31,0.34576000,14397.34696390
1702340940000,41654.32000000,41684.24000000,41650.00000000,41653.80000000,0.18558000,1702340999999,7730.24161770,28,0.06799000,2832.60726130
1702341000000,41659.94000000,41678.86000000,41582.69000000,41582.69000000,0.88646000,1702341059999,36911.94899840,51,0.57420000,23914.13714160
1702341060000,41597.44000000,41630.54000000,41571.71000000,41574.26000000,0.08249000,1702341119999,3429.80788370,26,0.07722000,3210.61109230
1702341120000,41588.86000000,41605.93000000,41534.82000000,41534.88000000,0.02212000,1702341179999,918.87977310,13,0.01327000,551.26370720
1702341180000,41544.59000000,41545.14000000,41544.54000000,41545.14000000,0.01700000,1702341239999,706.26633460,5,0.00179000,74.36475520
1702341240000,41533.75000000,41538.60000000,41495.00000000,41538.60000000,0.03466000,1702341299999,1438.64464680,22,0.00818000,339.68820960
1702341300000,41570.83000000,41570.83000000,41535.24000000,41544.81000000,0.00488000,1702341359999,202.72249540,6,0.00488000,202.72249540
1702341360000,41557.40000000,41605.00000000,41535.37000000,41605.00000000,0.06167000,1702341419999,2563.21395270,11,0.00375000,155.96384390
1702341420000,41611.23000000,41667.38000000,41587.24000000,41667.38000000,0.15765000,1702341479999,6568.33883430,20,0.15373000,6405.30766940
1702341480000,41621.44000000,41679.00000000,41621.44000000,41679.00000000,0.08186000,1702341539999,3410.57585240,13,0.01149000,478.86996350
1702341540000,41640.31000000,41682.38000000,41608.22000000,41608.22000000,0.00755000,1702341599999,314.44919250,10,0.00361000,150.44863700
1702341600000,41608.26000000,41660.92000000,41587.16000000,41660.92000000,0.55096000,1702341659999,22934.73449980,11,0.00096000,39.99264720
1702341660000,41660.80000000,41660.80000000,41608.26000000,41624.71000000,0.39380000,1702341719999,16401.83366260,20,0.34776000,14484.25028840
1702341720000,41641.72000000,41642.85000000,41587.18000000,41587.18000000,0.12390000,1702341779999,5155.38361950,6,0.00360000,149.91289270
1702341780000,41587.32000000,41587.32000000,41587.32000000,41587.32000000,0.00207000,1702341839999,86.08575240,1,0E-8,0E-8
1702341840000,41614.59000000,41614.59000000,41600.01000000,41600.01000000,0.00217000,1702341899999,90.27347970,2,0.00217000,90.27347970
1702341900000,41600.01000000,41631.41000000,41587.86000000,41587.86000000,0.01133000,1702341959999,471.51817960,9,0.00926000,385.43130940
1702341960000,41613.56000000,41689.10000000,41613.56000000,41689.10000000,0.16940000,1702342019999,7060.27259560,22,0.16906000,7046.10086180
1702342020000,41650.54000000,41744.89000000,41650.54000000,41744.89000000,0.03110000,1702342079999,1297.48576790,33,0.02464000,1028.17053240
1702342080000,41699.14000000,41752.69000000,41685.16000000,41702.98000000,0.18554000,1702342139999,7745.09416410,29,0.16111000,6726.33667720
1702342140000,41697.18000000,41697.18000000,41685.15000000,41685.15000000,0.00451000,1702342199999,188.03330840,5,0.00277000,115.50114740
1702342200000,41716.00000000,41716.12000000,41670.84000000,41675.19000000,0.09875000,1702342259999,4115.93391710,17,0.09415000,3924.22770100
1702342260000,41675.18000000,41675.18000000,41644.25000000,41670.43000000,0.07702000,1702342319999,3207.69141860,9,0.07554000,3146.03705270
1702342320000,41670.23000000,41697.22000000,41627.40000000,41653.92000000,0.05175000,1702342379999,2156.38619900,12,0.03266000,1361.12112060
