open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
1703116800000,43661.78000000,43679.97000000,43661.78000000,43661.78000000,0.01291000,1703116859999,563.79823600,12,0.00750000,327.58781480
1703116860000,43661.78000000,43671.42000000,43630.75000000,43630.75000000,0.00383000,1703116919999,167.16796030,4,0.00175000,76.41569000
1703116920000,43646.81000000,43646.81000000,43609.08000000,43630.75000000,0.04600000,1703116979999,2006.91469180,15,0.04134000,1803.69637900
1703116980000,43638.62000000,43661.59000000,43616.25000000,43632.14000000,0.05845000,1703117039999,2549.44477880,8,0.00102000,44.52793080
1703117040000,43645.22000000,43645.22000000,43607.65000000,43632.52000000,0.00680000,1703117099999,296.72232550,4,0.00176000,76.81541950
1703117100000,43650.00000000,43656.73000000,43609.79000000,43609.79000000,0.00421000,1703117159999,183.70082920,7,0.00084000,36.67037450
1703117160000,43617.14000000,43643.57000000,43609.19000000,43609.19000000,0.08045000,1703117219999,3508.44970870,13,0.00291000,126.97652410
1703117220000,43612.32000000,43614.10000000,43600.00000000,43614.10000000,0.89773000,1703117279999,39149.83690940,20,0.11392000,4968.51794500
1703117280000,43600.00000000,43600.01000000,43583.91000000,43583.91000000,0.08420000,1703117339999,3670.81208810,11,0E-8,0E-8
1703117340000,43606.38000000,43606.38000000,43568.22000000,43605.56000000,0.03597000,1703117399999,1567.80956420,10,0.01146000,499.44610720
1703117400000,43605.55000000,43615.07000000,43604.10000000,43615.07000000,0.00839000,1703117459999,365.84829370,5,0.00839000,365.84829370
1703117460000,43600.00000000,43609.47000000,43583.35000000,43609.47000000,0.00888000,1703117519999,387.15648910,7,0.00308000,134.30296260
1703117520000,43597.67000000,43599.18000000,43583.36000000,43599.18000000,0.00288000,1703117579999,125.54667190,5,0.00175000,76.29747510
1703117580000,43598.86000000,43601.96000000,43583.35000000,43583.41000000,0.05870000,1703117639999,2558.44594260,11,0.00827000,360.53710020
1703117640000,43583.09000000,43583.09000000,43583.09000000,43583.09000000,0.00050000,1703117699999,21.79154500,1,0.00050000,21.79154500
1703117700000,43568.22000000,43583.07000000,43564.30000000,43583.07000000,0.00161000,1703117759999,70.14527140,3,0.00004000,1.74332280
1703117760000,43577.82000000,43577.82000000,43544.56000000,43567.27000000,0.03485000,1703117819999,1517.93174180,13,0.00707000,308.02270890
1703117820000,43578.32000000,43578.32000000,43546.33000000,43546.41000000,0.01928000,1703117879999,840.02970330,9,0.01429000,622.73349980
1703117880000,43546.41000000,43546.41000000,43546.41000000,43546.41000000,0E-8,1703117939999,0E-8,0,0E-8,0E-8
1703117940000,43577.99000000,43601.32000000,43567.98000000,43575.36000000,0.06911000,1703117999999,3011.65328120,15,0.02236000,974.55885380
1703118000000,43576.56000000,43576.58000000,43553.79000000,43553.79000000,0.04501000,1703118059999,1961.06967860,11,0.02962000,1290.67413800
1703118060000,43567.97000000,43567.97000000,43547.42000000,43555.74000000,0.00407000,1703118119999,177.27095480,3,0.00352000,153.31987380
1703118120000,43555.50000000,43565.17000000,43555.50000000,43565.17000000,0.03569000,1703118179999,1554.50381530,9,0.03569000,1554.50381530
1703118180000,43571.19000000,43599.02000000,43571.19000000,43599.02000000,0.00749000,1703118239999,326.42010560,7,0.00749000,326.42010560
1703118240000,43582.70000000,43633.99000000,43582.70000000,43631.52000000,0.02634000,1703118299999,1148.97102250,16,0.02415000,1053.52320670
1703118300000,43614.38000000,43676.99000000,43614.38000000,43668.49000000,0.05371000,1703118359999,2344.93044200,38,0.04013000,1751.97323650
1703118360000,43668.49000000,43676.98000000,43629.17000000,43657.22000000,0.07342000,1703118419999,3206.29371140,12,0.01276000,557.15294480
1703118420000,43665.18000000,43665.18000000,43615.39000000,43618.79000000,0.01637000,1703118479999,714.09220730,9,0.00174000,75.97728420
1703118480000,43647.84000000,43647.84000000,43608.17000000,43611.54000000,0.00272000,1703118539999,118.64756110,8,0.00060000,26.18870400
1703118540000,43639.55000000,43653.60000000,43611.54000000,43652.99000000,0.02147000,1703118599999,936.91719910,12,0.01598000,697.48082210
1703118600000,43621.19000000,43680.38000000,43621.19000000,43664.00000000,0.04216000,1703118659999,1841.06001670,25,0.02839000,1239.85505170
1703118660000,43658.80000000,43700.01000000,43658.80000000,43681.77000000,0.74555000,1703118719999,32571.79173570,45,0.67055000,29297.01145280
1703118720000,43681.78000000,43712.54000000,43681.78000000,43707.45000000,0.06696000,1703118779999,2926.60404520,20,0.01291000,564.24965770
1703118780000,43712.54000000,43727.97000000,43707.45000000,43727.64000000,0.18688000,1703118839999,8171.18461870,59,0.17364000,7592.43377510
1703118840000,43707.46000000,43727.60000000,43707.46000000,43726.95000000,0.10299000,1703118899999,4501.55686910,11,0.00422000,184.52951950
1703118900000,43707.46000000,43725.28000000,43707.45000000,43707.45000000,0.50488000,1703118959999,22067.12121810,16,0.00729000,318.73111190
1703118960000,43707.45000000,43707.45000000,43707.45000000,43707.45000000,0.02897000,1703119019999,1266.20482650,5,0E-8,0E-8
1703119020000,43715.24000000,43723.58000000,43707.45000000,43723.57000000,0.16435000,1703119079999,7185.41850110,26,0.13184000,5764.48544430
1703119080000,43723.57000000,43741.48000000,43720.00000000,43720.00000000,1.20918000,1703119139999,52876.43164060,33,1.10748000,48430.10708860
1703119140000,43720.00000000,43731.89000000,43720.00000000,43731.89000000,0.02960000,1703119199999,1294.36964710,8,0.02175000,951.16764710
1703119200000,43707.46000000,43731.76000000,43707.45000000,43731.76000000,0.04044000,1703119259999,1767.61391460,8,0.00345000,150.87457200
1703119260000,43707.45000000,43727.52000000,43683.51000000,43711.80000000,0.47687000,1703119319999,20842.93729420,17,0.04260000,1862.11216970
1703119320000,43711.79000000,43714.27000000,43683.51000000,43714.27000000,0.01681000,1703119379999,734.78001420,5,0.01605000,701.57601510
1703119380000,43707.57000000,43707.57000000,43677.65000000,43695.70000000,0.01677000,1703119439999,732.52784210,9,0.00095000,41.51440500
1703119440000,43694.45000000,43694.45000000,43646.87000000,43689.59000000,0.03100000,1703119499999,1354.18492320,13,0.02642000,1154.28225860
1703119500000,43689.58000000,43689.88000000,43664.11000000,43689.88000000,0.14633000,1703119559999,6393.07110990,28,0.14499000,6334.55386240
1703119560000,43673.31000000,43673.31000000,43655.32000000,43660.06000000,0.03798000,1703119619999,1658.14095330,5,0.00687000,299.94461220
1703119620000,43665.20000000,43683.97000000,43600.01000000,43600.01000000,0.12428000,1703119679999,5425.07140100,36,0.09063000,3956.56335150
1703119680000,43632.15000000,43632.15000000,43581.37000000,43586.10000000,0.02790000,1703119739999,1216.18854730,19,0.00170000,74.16078560
1703119740000,43586.09000000,43612.90000000,43577.68000000,43612.90000000,0.21932000,1703119799999,9563.24463960,16,0.21773000,9493.95132900
1703119800000,43612.90000000,43612.90000000,43585.55000000,43612.84000000,0.00929000,1703119859999,405.15956720,7,0.00914000,398.62173470
1703119860000,43589.99000000,43624.04000000,43589.99000000,43614.58000000,0.00150000,1703119919999,65.42054620,3,0.00140000,61.06154720
1703119920000,43586.00000000,43613.87000000,43586.00000000,43613.87000000,0.00238000,1703119979999,103.79738750,3,0.00225000,98.13120750
1703119980000,43587.52000000,43606.78000000,43586.01000000,43606.78000000,0.00784000,1703120039999,341.73452880,4,0.00088000,38.37396640
1703120040000,43606.78000000,43622.19000000,43606.78000000,43622.19000000,0.00294000,1703120099999,128.23727930,3,0.00294000,128.23727930
1703120100000,43603.64000000,43630.75000000,43603.64000000,43603.86000000,0.01768000,1703120159999,770.96893830,6,0.00207000,90.31565250
1703120160000,43626.78000000,43626.79000000,43604.03000000,43604.03000000,0.01584000,1703120219999,690.89176630,7,0.00897000,391.33208020
1703120220000,43626.37000000,43626.37000000,43586.00000000,43586.00000000,0.00810000,1703120279999,353.23237470,6,0.00318000,138.70469310
1703120280000,43603.00000000,43605.29000000,43603.00000000,43605.29000000,0.00023000,1703120339999,10.02898770,2,0.00023000,10.02898770
1703120340000,43586.00000000,43603.53000000,43583.91000000,43603.53000000,0.00630000,1703120399999,274.60892900,7,0.00115000,50.14405950
1703120400000,43603.53000000,43603.53000000,43559.92000000,43592.24000000,0.02333000,1703120459999,1016.52918090,17,0.00258000,112.48265620
1703120460000,43603.48000000,43603.53000000,43580.00000000,43594.91000000,0.09325000,1703120519999,4065.88742020,12,0.08759000,3819.22462020
1703120520000,43594.90000000,43594.90000000,43555.00000000,43581.83000000,0.05769000,1703120579999,2512.88184440,12,0.00252000,109.82923680
1703120580000,43581.52000000,43581.52000000,43502.26000000,43502.26000000,0.12412000,1703120639999,5401.87545300,46,0.00254000,110.63574570
1703120640000,43502.25000000,43525.05000000,43460.63000000,43489.75000000,0.05824000,1703120699999,2532.95399960,40,0.01965000,854.81257890
1703120700000,43465.00000000,43475.00000000,43450.59000000,43474.99000000,0.55127000,1703120759999,23966.02095210,46,0.51538000,22406.10812250
1703120760000,43474.99000000,43475.54000000,43452.38000000,43452.38000000,0.21065000,1703120819999,9153.28111200,15,0.00160000,69.56079800
1703120820000,43468.16000000,43468.16000000,43452.38000000,43452.38000000,0.02492000,1703120879999,1083.04751210,7,0.01357000,589.86290240
1703120880000,43467.67000000,43467.67000000,43409.94000000,43418.50000000,0.88941000,1703120939999,38650.33712840,46,0.01628000,707.47754200
1703120940000,43417.86000000,43468.22000000,43393.07000000,43466.99000000,0.17968000,1703120999999,7801.30875000,37,0.11611000,5040.69787660
1703121000000,43441.50000000,43472.55000000,43397.02000000,43397.02000000,0.34806000,1703121059999,15119.74769380,19,0.01359000,590.28373130
1703121060000,43427.03000000,43427.03000000,43410.00000000,43415.62000000,0.50569000,1703121119999,21952.06968230,12,0.00569000,247.06968230
1703121120000,43415.62000000,43415.62000000,43378.73000000,43378.73000000,0.01245000,1703121179999,540.26265780,6,0.00183000,79.42953180
1703121180000,43404.39000000,43419.74000000,43378.72000000,43419.74000000,0.00575000,1703121239999,249.53295450,8,0.00382000,165.81202490
1703121240000,43440.74000000,43441.33000000,43440.74000000,43440.76000000,0.35941000,1703121299999,15613.04501650,13,0.01629000,707.65144530
1703121300000,43419.75000000,43438.60000000,43393.07000000,43400.00000000,0.90035000,1703121359999,39075.92830980,30,0.00258000,112.03814070
1703121360000,43419.32000000,43419.32000000,43400.00000000,43408.89000000,0.30029000,1703121419999,13032.60484280,13,0.00165000,71.62852760
1703121420000,43408.89000000,43408.89000000,43396.19000000,43408.56000000,0.00640000,1703121479999,277.78082920,6,0.00365000,158.44130670
1703121480000,43408.70000000,43408.70000000,43378.74000000,43378.74000000,0.00427000,1703121539999,185.24160060,5,0.00048000,20.83617600
1703121540000,43406.83000000,43406.83000000,43406.79000000,43406.81000000,0.02573000,1703121599999,1116.85706010,7,0.02573000,1116.85706010
1703121600000,43433.45000000,43463.15000000,43420.29000000,43463.15000000,0.03769000,1703121659999,1637.44366590,18,0.03641000,1581.86569470
1703121660000,43445.00000000,43476.46000000,43445.00000000,43475.24000000,0.02680000,1703121719999,1164.95976620,22,0.02571000,1117.60471620
